subscription_id,total_usage_count,avg_usage_duration_secs,total_errors,beta_feature_events,unique_features_used,account_id,plan_tier,churn_flag,mrr_amount,arr_amount,industry,referral_source
S-021ca9,40,4573.5,0,1,4,A-9affe6,Basic,0,342,4104,Cybersecurity,other
S-022a1e,44,2264.8333333333335,0,1,6,A-c42f1f,Pro,0,539,6468,HealthTech,other
S-023f3c,60,1557.0,6,0,5,A-b9eed8,Enterprise,0,2985,35820,Cybersecurity,organic
S-023f5f,60,2942.6666666666665,1,1,6,A-b2225d,Basic,0,893,10716,FinTech,ads
S-02508a,61,3122.5,2,1,6,A-05d3b3,Basic,0,532,6384,DevTools,ads
S-025bea,55,3295.6666666666665,0,0,6,A-9affe6,Pro,0,833,9996,Cybersecurity,other
S-0267b7,49,3009.2,2,0,5,A-65a46c,Enterprise,1,0,0,HealthTech,event
S-0268ba,77,2418.5714285714284,5,1,7,A-9f0b68,Enterprise,0,6567,78804,EdTech,ads
S-027102,32,677.3333333333334,0,0,3,A-3c1a3f,Enterprise,0,597,7164,DevTools,event
S-0283b5,47,2900.2,0,0,5,A-443f6f,Pro,0,931,11172,Cybersecurity,organic
S-028f5b,54,1785.0,1,0,5,A-80eeb6,Enterprise,1,5174,62088,Cybersecurity,organic
S-029065,36,3630.5,0,0,3,A-4c56c9,Basic,0,0,0,FinTech,partner
S-02949d,90,4045.625,7,0,8,A-bd4708,Pro,0,1813,21756,FinTech,ads
S-02984e,54,3397.0,0,2,4,A-2e3bad,Enterprise,0,12139,145668,FinTech,other
S-029c20,68,2801.5714285714284,4,1,5,A-f44180,Basic,0,0,0,Cybersecurity,event
S-02a3aa,66,3157.1428571428573,7,0,6,A-e2cd1b,Basic,0,0,0,DevTools,other
S-02ab8b,52,3709.8,1,1,4,A-4e44e8,Enterprise,0,14925,179100,DevTools,ads
S-02af5d,29,2721.0,0,0,3,A-d82ef9,Enterprise,0,0,0,EdTech,other
S-02b3a1,45,2113.6,2,0,5,A-e6afc1,Basic,0,342,4104,DevTools,ads
S-02b754,138,2900.285714285714,10,1,12,A-3b37d9,Enterprise,0,4577,54924,FinTech,event
S-02be35,78,3392.8571428571427,0,0,6,A-e08cd3,Pro,1,3283,39396,FinTech,ads
S-02c3e7,67,2842.4285714285716,7,3,6,A-7c4956,Enterprise,0,1194,14328,DevTools,ads
S-02cde8,65,3094.5714285714284,3,0,6,A-5b4ebb,Enterprise,0,12537,150444,Cybersecurity,other
S-02d46a,65,2754.5714285714284,4,0,7,A-8ed5dd,Pro,0,245,2940,EdTech,event
S-02d6c8,54,3806.6,0,1,5,A-3a7284,Enterprise,0,6169,74028,FinTech,organic
S-02ec76,78,1970.111111111111,4,0,8,A-e60f9d,Pro,0,1421,17052,FinTech,other
S-03340d,91,4034.125,5,0,8,A-4ef964,Enterprise,0,3383,40596,HealthTech,organic
S-0334aa,27,6312.0,4,0,2,A-acb7f7,Pro,0,2009,24108,EdTech,ads
S-0337da,108,4397.0,1,3,9,A-098560,Enterprise,0,5771,69252,DevTools,ads
S-0359cf,62,3962.0,1,0,6,A-afa505,Pro,0,0,0,DevTools,partner
S-036362,52,2482.75,2,0,4,A-c37601,Pro,0,588,7056,EdTech,partner
S-0380a3,33,2532.25,2,1,4,A-922109,Pro,0,147,1764,Cybersecurity,ads
S-0386c2,52,2546.8333333333335,7,0,6,A-0f6450,Enterprise,0,5572,66864,FinTech,other
S-038c7d,34,3261.75,0,0,4,A-712426,Basic,0,0,0,HealthTech,other
S-038f6f,11,1177.0,0,1,1,A-82d8a6,Enterprise,1,0,0,Cybersecurity,ads
S-03906f,38,1628.5,0,0,4,A-c1e51e,Basic,0,475,5700,FinTech,organic
S-039a8e,21,4935.5,4,1,2,A-331424,Basic,1,209,2508,DevTools,organic
S-03a5b0,45,1716.2,0,1,5,A-068fc6,Enterprise,0,6965,83580,EdTech,event
S-03a939,21,1755.0,0,0,2,A-cd458b,Enterprise,0,5174,62088,DevTools,other
S-03a97f,46,4309.75,6,1,4,A-f51f16,Pro,0,2940,35280,HealthTech,partner
S-03ac49,27,1576.0,2,2,3,A-35083d,Enterprise,0,3781,45372,HealthTech,partner
S-03bfa3,59,2428.5,0,0,6,A-bc4d48,Basic,0,665,7980,EdTech,ads
S-040422,36,1795.75,1,1,4,A-463db0,Basic,0,285,3420,HealthTech,partner
S-040f03,27,1761.6666666666667,3,0,3,A-31ab9a,Enterprise,0,2786,33432,FinTech,organic
S-041534,40,2997.0,0,0,4,A-4e0e85,Pro,0,1862,22344,DevTools,organic
S-041553,38,2627.25,0,0,4,A-c608c8,Pro,0,539,6468,DevTools,ads
S-041624,59,3113.6,2,0,4,A-6843f2,Enterprise,0,4179,50148,HealthTech,ads
S-0455a5,31,1105.75,4,1,4,A-993085,Enterprise,1,8358,100296,HealthTech,ads
S-0459a1,86,2694.222222222222,12,0,7,A-8e47ca,Enterprise,0,3781,45372,HealthTech,organic
S-0463f5,19,4335.0,1,0,2,A-7df7a7,Pro,0,343,4116,DevTools,organic
S-046595,69,3103.5714285714284,4,1,7,A-ed510f,Enterprise,0,8358,100296,Cybersecurity,partner
S-04911c,43,3281.0,3,0,4,A-bc87bc,Pro,1,0,0,FinTech,event
S-049328,41,3813.5,1,1,4,A-39b19f,Pro,0,2695,32340,FinTech,partner
S-049667,108,4890.777777777777,5,1,9,A-ac14bb,Basic,0,532,6384,FinTech,partner
S-04ab7e,67,2210.714285714286,0,1,7,A-f6b2fb,Pro,0,1127,13524,DevTools,event
S-04b127,24,5422.0,0,0,2,A-a6d261,Basic,0,171,2052,FinTech,other
S-04d260,43,3033.25,1,0,4,A-d82ef9,Pro,0,0,0,EdTech,other
S-04ec2f,26,3219.6666666666665,3,1,3,A-faa28c,Pro,0,2352,28224,HealthTech,organic
S-04fd47,28,2494.3333333333335,2,0,3,A-0a282f,Basic,0,228,2736,DevTools,organic
S-0509b8,66,3634.0,2,0,6,A-e351e1,Basic,1,627,7524,EdTech,other
S-050a91,48,4533.25,4,0,4,A-d27f50,Basic,0,855,10260,Cybersecurity,ads
S-053142,60,3084.6666666666665,6,0,6,A-ffc04f,Basic,0,304,3648,EdTech,ads
S-054897,66,1993.1666666666667,2,0,6,A-de58ca,Pro,0,735,8820,HealthTech,organic
S-05553e,19,2744.0,0,0,2,A-bc87bc,Enterprise,0,6169,74028,FinTech,event
S-05555d,57,4154.666666666667,6,1,6,A-4437e4,Enterprise,0,3184,38208,Cybersecurity,event
S-05624a,67,2106.1428571428573,0,1,7,A-c37cab,Pro,0,637,7644,Cybersecurity,event
S-056775,65,3259.8333333333335,3,0,6,A-ee42db,Pro,0,5635,67620,EdTech,ads
S-056af2,34,5247.333333333333,2,1,3,A-054577,Enterprise,0,14925,179100,EdTech,ads
S-0586ad,52,2726.6,3,0,4,A-7920cc,Enterprise,0,7761,93132,Cybersecurity,ads
S-05aaef,89,3736.875,5,0,7,A-883b7d,Pro,0,0,0,Cybersecurity,other
S-05ad41,66,2474.0,2,2,6,A-139c3b,Pro,0,2009,24108,HealthTech,organic
S-05b080,44,4886.25,4,1,4,A-b9eed8,Basic,0,209,2508,Cybersecurity,organic
S-05b1b6,31,3913.25,4,1,4,A-337bc1,Enterprise,0,6766,81192,Cybersecurity,organic
S-05b245,81,2318.375,3,1,7,A-e61e98,Enterprise,0,6766,81192,FinTech,partner
S-05be05,45,2821.4,1,0,5,A-e7beab,Enterprise,1,995,11940,EdTech,organic
S-05ef15,25,3841.6666666666665,7,0,3,A-d42431,Basic,0,665,7980,FinTech,ads
S-05eff5,56,2537.4,2,0,5,A-118f1c,Basic,0,608,7296,Cybersecurity,other
S-060019,50,2027.0,7,0,5,A-d535f6,Basic,0,0,0,DevTools,organic
S-061025,49,2131.3333333333335,6,0,6,A-c45b23,Pro,0,343,4116,FinTech,partner
S-063586,39,835.75,0,1,4,A-13466a,Enterprise,1,4378,52536,DevTools,event
S-0638dc,47,2018.0,3,1,5,A-9779ad,Enterprise,0,7960,95520,Cybersecurity,event
S-0639f1,34,2454.75,0,0,4,A-3be56b,Basic,0,0,0,HealthTech,event
S-06447b,31,2465.75,4,1,4,A-17939a,Pro,0,49,588,HealthTech,organic
S-06770c,55,3715.8,6,0,5,A-1b7577,Basic,0,1539,18468,Cybersecurity,other
S-067c38,19,3004.5,1,1,2,A-3b5cd1,Basic,0,304,3648,FinTech,event
S-067edc,21,2225.5,0,1,2,A-075038,Pro,0,0,0,HealthTech,ads
S-06b9f0,46,3721.75,0,0,4,A-c37601,Pro,0,0,0,EdTech,partner
S-06c096,42,3284.25,2,0,4,A-eb2fdc,Pro,0,1519,18228,DevTools,organic
S-06e3cd,20,2373.3333333333335,4,1,3,A-42e5e1,Basic,0,0,0,DevTools,ads
S-06e837,28,2727.6666666666665,1,1,3,A-7c4956,Basic,1,0,0,DevTools,ads
S-06fb6f,25,3132.5,0,0,2,A-50bb9f,Pro,0,1470,17640,Cybersecurity,organic
S-06fb77,39,2845.5,4,0,4,A-96e141,Pro,0,1078,12936,DevTools,partner
S-070d42,51,2422.4,3,2,5,A-684255,Pro,0,1127,13524,FinTech,ads
S-071ade,25,2894.0,1,0,3,A-aa9511,Basic,0,437,5244,DevTools,other
S-073381,10,4670.0,0,0,1,A-2bc93d,Basic,1,266,3192,HealthTech,event
S-07399c,54,3401.6,3,0,5,A-4e44e8,Basic,0,551,6612,DevTools,ads
S-0756ce,29,4027.0,3,0,3,A-9badbd,Pro,0,3773,45276,Cybersecurity,ads
S-075ffc,20,4625.0,0,0,2,A-eb7c38,Enterprise,1,2985,35820,DevTools,organic
S-07734f,67,3249.0,3,1,6,A-b7ef83,Basic,0,152,1824,Cybersecurity,partner
S-078c2b,28,2541.0,1,0,3,A-354f12,Basic,0,133,1596,FinTech,ads
S-078e94,70,4364.666666666667,2,1,5,A-3a7284,Enterprise,0,6169,74028,FinTech,organic
S-079321,53,2723.5,9,2,6,A-e1462e,Pro,0,735,8820,FinTech,partner
S-07976e,38,3249.6,0,1,5,A-81edc3,Pro,0,245,2940,Cybersecurity,ads
S-07a006,30,3636.0,7,0,3,A-40906c,Enterprise,0,18308,219696,EdTech,ads
S-07aba0,36,4818.0,1,0,3,A-3b37d9,Enterprise,0,4577,54924,FinTech,event
S-07abdd,92,4722.75,1,3,8,A-f19409,Pro,0,1666,19992,DevTools,other
S-07ace5,37,2304.25,0,0,4,A-71615e,Enterprise,0,6368,76416,EdTech,organic
S-07c0da,41,4262.0,3,0,4,A-068fc6,Pro,0,0,0,EdTech,event
S-07c2c2,46,2935.75,0,1,4,A-f1f639,Basic,0,95,1140,EdTech,ads
S-07c505,56,4479.4,1,0,5,A-bc4d48,Pro,0,1715,20580,EdTech,ads
S-07e821,34,1135.8,0,0,5,A-e61e98,Pro,0,1813,21756,FinTech,partner
S-07f282,84,2214.75,2,1,8,A-88c6ca,Enterprise,0,995,11940,FinTech,ads
S-07ff57,68,2661.714285714286,2,3,7,A-c608c8,Pro,0,2842,34104,DevTools,ads
S-0802a4,46,2084.1666666666665,3,0,6,A-a45270,Pro,0,3871,46452,HealthTech,ads
S-081b81,27,2110.5,0,0,2,A-b20d99,Basic,0,380,4560,HealthTech,other
S-082b15,15,2080.5,0,1,2,A-aa9511,Enterprise,0,19303,231636,DevTools,other
S-084930,48,2695.8,2,0,5,A-c1e51e,Enterprise,0,597,7164,FinTech,organic
S-084e4f,66,2386.4285714285716,4,1,7,A-054577,Basic,0,475,5700,EdTech,ads
S-084f4a,76,1524.625,4,0,8,A-faa28c,Enterprise,1,9552,114624,HealthTech,organic
S-085f96,40,4798.5,1,0,4,A-2bc93d,Enterprise,0,7960,95520,HealthTech,event
S-0865f1,51,3517.6,1,0,5,A-95b24a,Basic,0,722,8664,FinTech,event
S-0891f1,75,3422.714285714286,11,0,7,A-e1b9cd,Basic,0,760,9120,DevTools,event
S-089366,110,3267.777777777778,6,0,6,A-e60f9d,Basic,0,551,6612,FinTech,other
S-0896bc,39,2341.5,2,1,4,A-9779ad,Enterprise,0,7960,95520,Cybersecurity,event
S-0896f4,148,3341.5625,8,1,13,A-781cc0,Basic,0,228,2736,EdTech,organic
S-089fa7,10,4070.0,0,0,1,A-9174e0,Enterprise,0,7363,88356,Cybersecurity,partner
S-08a3ca,41,3510.0,2,0,4,A-c45b23,Pro,0,0,0,FinTech,partner
S-08a3d4,82,4602.285714285715,1,1,5,A-faa28c,Basic,0,931,11172,HealthTech,organic
S-08a5fd,45,1932.5,5,1,4,A-b9eed8,Enterprise,0,6766,81192,Cybersecurity,organic
S-08c8e1,74,4448.428571428572,7,1,7,A-31ab9a,Enterprise,0,2786,33432,FinTech,organic
S-08e560,61,2779.6666666666665,6,0,5,A-de58ca,Pro,1,735,8820,HealthTech,organic
S-08f8d3,37,2649.2,0,0,4,A-bcf87c,Pro,0,1029,12348,FinTech,event
S-08fc73,124,2419.3333333333335,6,1,10,A-7df7a7,Enterprise,0,1393,16716,DevTools,organic
S-09076d,67,2580.0,0,1,5,A-87aa7b,Pro,0,2499,29988,HealthTech,organic
S-091a8d,18,2012.6666666666667,0,0,3,A-098560,Pro,0,0,0,DevTools,ads
S-0921a1,61,2013.125,3,1,7,A-ee42db,Basic,0,418,5016,EdTech,ads
S-09223a,50,1724.5714285714287,4,1,7,A-e40f45,Basic,0,399,4788,HealthTech,organic
S-09251c,65,2233.8571428571427,4,1,7,A-8adedc,Enterprise,1,3184,38208,EdTech,event
S-094e82,52,2281.6,0,0,4,A-9ee962,Basic,1,171,2052,HealthTech,ads
S-095083,20,3324.0,0,0,2,A-98a59a,Basic,0,1064,12768,FinTech,partner
S-096065,27,2555.3333333333335,0,0,3,A-2b9d3e,Enterprise,0,0,0,EdTech,partner
S-096835,31,2197.5,2,1,3,A-117171,Enterprise,0,0,0,HealthTech,organic
S-09761d,20,1349.0,1,1,3,A-6843f2,Pro,0,1127,13524,HealthTech,ads
S-09950d,65,2233.8571428571427,4,0,7,A-5f2961,Enterprise,0,1393,16716,HealthTech,partner
S-099dbc,55,2089.714285714286,2,1,6,A-812c5b,Pro,0,2695,32340,DevTools,organic
S-09ada1,45,2398.8,0,0,5,A-87aa7b,Basic,0,456,5472,HealthTech,organic
S-09c11e,67,2630.1428571428573,4,0,6,A-19b2c8,Basic,0,380,4560,DevTools,other
S-09c1df,70,1558.25,4,1,7,A-b7724f,Pro,1,49,588,HealthTech,organic
S-09cb75,76,2646.5714285714284,2,0,7,A-c43359,Basic,1,722,8664,FinTech,organic
S-09cdac,101,2510.8,15,1,8,A-82861f,Basic,1,779,9348,DevTools,organic
S-09d706,30,3345.6666666666665,0,2,3,A-6e08f3,Pro,0,392,4704,Cybersecurity,event
S-0a01c5,35,1996.75,5,0,4,A-e888d1,Enterprise,0,3184,38208,Cybersecurity,other
S-0a15fa,41,1930.8,0,1,5,A-bb1eaa,Pro,0,1225,14700,Cybersecurity,organic
S-0a19d1,32,1845.0,2,0,4,A-5b4ebb,Enterprise,0,4179,50148,Cybersecurity,other
S-0a2238,107,4258.375,7,1,8,A-c7ffc2,Basic,0,570,6840,Cybersecurity,partner
S-0a28cd,41,2007.8,2,1,4,A-e5d6ab,Enterprise,0,4179,50148,EdTech,partner
S-0a3e58,23,2306.0,2,1,2,A-417d2f,Pro,0,1617,19404,Cybersecurity,partner
S-0a59be,49,2685.4,4,0,5,A-328bd0,Enterprise,0,3582,42984,HealthTech,partner
S-0a5cd7,23,3416.0,0,1,2,A-ffdfd5,Enterprise,0,5970,71640,EdTech,organic
S-0a6b6b,40,3347.4,1,1,4,A-d42431,Basic,0,418,5016,FinTech,ads
S-0a70a3,18,3802.5,1,0,2,A-5b051a,Basic,1,418,5016,Cybersecurity,event
S-0a7396,32,3917.75,1,0,3,A-54d94a,Pro,0,1323,15876,Cybersecurity,event
S-0a765d,9,5346.0,3,0,1,A-439b2f,Basic,0,76,912,DevTools,ads
S-0a8200,89,3088.75,4,0,7,A-5b1bcd,Enterprise,0,14527,174324,DevTools,organic
S-0a83cc,49,4287.75,0,0,3,A-d922bf,Basic,0,0,0,HealthTech,ads
S-0a8acf,46,3104.2,2,0,5,A-55f257,Pro,0,637,7644,FinTech,organic
S-0a8cff,35,3597.0,1,1,4,A-016043,Enterprise,0,0,0,EdTech,organic
S-0a9660,35,3580.5,2,0,4,A-c7e58b,Enterprise,0,1990,23880,HealthTech,other
S-0ab4e8,79,3072.8571428571427,2,0,6,A-6a4e2d,Pro,0,784,9408,EdTech,partner
S-0ab9fb,25,5531.5,2,0,2,A-05f0e5,Pro,0,3185,38220,FinTech,partner
S-0aba5b,68,2233.1428571428573,1,1,7,A-180abf,Pro,0,0,0,DevTools,event
S-0abd10,53,2070.0,5,1,4,A-016043,Enterprise,1,4776,57312,EdTech,organic
S-0abdec,35,2211.6666666666665,0,0,3,A-4a4c2d,Basic,0,1026,12312,DevTools,event
S-0ac09f,47,4111.25,3,1,4,A-7e0a10,Enterprise,0,9154,109848,FinTech,ads
S-0acba4,41,4904.0,2,0,4,A-4e631b,Basic,0,418,5016,FinTech,other
S-0ada66,108,3503.5,6,3,10,A-c4ea60,Enterprise,0,3582,42984,FinTech,other
S-0adca9,80,4353.285714285715,1,0,7,A-b3fe05,Basic,0,1045,12540,Cybersecurity,partner
S-0ae114,51,2573.8571428571427,5,0,7,A-309e54,Basic,0,1349,16188,DevTools,other
S-0ae33f,44,2322.6,1,0,4,A-075038,Pro,0,5047,60564,HealthTech,ads
S-0aed9e,48,4449.0,2,0,4,A-22d9d2,Pro,0,392,4704,DevTools,event
S-0aedf8,37,6148.0,3,0,3,A-a7bd4b,Basic,0,912,10944,Cybersecurity,ads
S-0b054a,31,3100.6666666666665,1,0,3,A-4e960a,Basic,0,760,9120,FinTech,other
S-0b059f,63,3413.1666666666665,5,0,6,A-7c4956,Basic,1,95,1140,DevTools,ads
S-0b0ffa,28,3990.0,0,0,2,A-180abf,Basic,1,0,0,DevTools,event
S-0b25d7,45,4011.75,0,0,4,A-0e966d,Basic,0,418,5016,FinTech,ads
S-0b2ac3,27,1443.0,6,1,3,A-d792a6,Basic,0,0,0,DevTools,organic
S-0b2faf,37,2444.25,1,0,4,A-c45b23,Basic,0,0,0,FinTech,partner
S-0b3f0c,56,3392.4,1,1,5,A-3be56b,Enterprise,0,0,0,HealthTech,event
S-0b46b0,53,2641.8,2,0,4,A-de24d5,Enterprise,0,1393,16716,DevTools,other
S-0b62cc,19,3059.0,5,2,2,A-a09355,Enterprise,0,3383,40596,FinTech,organic
S-0b6899,32,4010.75,1,1,4,A-313be3,Enterprise,0,9353,112236,EdTech,partner
S-0b6e58,13,247.0,0,0,1,A-1e1b80,Enterprise,0,9950,119400,FinTech,other
S-0b73bd,23,2779.0,0,0,2,A-118d55,Enterprise,0,3184,38208,Cybersecurity,organic
S-0b7de7,41,3346.25,6,1,3,A-eb7fac,Enterprise,0,3184,38208,DevTools,organic
S-0b7eba,74,3898.8571428571427,1,0,7,A-7f4db3,Enterprise,0,1592,19104,FinTech,other
S-0b80b4,37,2007.6666666666667,4,0,3,A-659280,Pro,0,2303,27636,FinTech,event
S-0b831e,39,2259.25,0,2,4,A-4c38bc,Pro,0,1764,21168,HealthTech,event
S-0b8b0c,85,3194.285714285714,0,1,7,A-f17767,Enterprise,0,199,2388,DevTools,event
S-0ba1fe,90,2570.6,5,0,8,A-5a184f,Enterprise,0,9154,109848,DevTools,other
S-0bb284,38,3421.3333333333335,1,0,3,A-b07b56,Pro,0,1323,15876,DevTools,event
S-0bccd9,75,3020.285714285714,2,1,6,A-96bbc6,Basic,0,741,8892,Cybersecurity,organic
S-0bd442,32,2936.6666666666665,3,0,3,A-ad296b,Enterprise,0,7562,90744,DevTools,event
S-0bdbb3,80,3629.0,0,0,8,A-00cac8,Enterprise,0,7761,93132,HealthTech,organic
S-0bdf55,54,2320.5,2,0,5,A-7dacce,Enterprise,0,2587,31044,Cybersecurity,event
S-0bf451,85,3185.0,3,0,8,A-3f9cc0,Enterprise,0,4378,52536,HealthTech,event
S-0c03b0,48,2582.6,1,0,4,A-39b19f,Pro,0,1764,21168,FinTech,partner
S-0c0691,74,2994.375,1,1,6,A-19b2c8,Enterprise,0,3980,47760,DevTools,other
S-0c0ddf,62,3904.8571428571427,6,2,7,A-65c341,Enterprise,0,2189,26268,FinTech,ads
S-0c4162,38,3401.25,1,0,4,A-a8b49c,Basic,0,0,0,Cybersecurity,partner
S-0c42bc,67,1981.4285714285713,4,0,6,A-712426,Pro,0,441,5292,HealthTech,other
S-0c43c2,36,6447.333333333333,0,0,3,A-0f6450,Pro,0,1372,16464,FinTech,other
S-0c46bb,50,3272.5,9,2,6,A-c45b23,Basic,0,228,2736,FinTech,partner
S-0c47cb,116,2286.9,4,2,9,A-b9eed8,Basic,0,266,3192,Cybersecurity,organic
S-0c56e1,62,2563.0,5,0,7,A-6f8ad2,Basic,0,551,6612,EdTech,organic
S-0c5771,73,2959.5,3,1,6,A-798a3f,Enterprise,1,0,0,DevTools,other
S-0c63de,50,3648.4,4,1,5,A-592832,Pro,0,882,10584,Cybersecurity,organic
S-0c91c4,72,1916.0,3,2,7,A-2789e3,Enterprise,0,2189,26268,FinTech,partner
S-0c9600,22,4927.0,0,0,2,A-2b9d3e,Basic,0,209,2508,EdTech,partner
S-0c9fdd,58,2678.8,2,0,5,A-5b4ebb,Pro,0,1470,17640,Cybersecurity,other
S-0cb4fe,35,2648.75,2,0,4,A-560d27,Enterprise,0,14129,169548,DevTools,organic
S-0cb6ed,69,2462.5714285714284,7,0,6,A-ac85cd,Pro,1,2597,31164,EdTech,partner
S-0cbce0,34,1737.3333333333333,0,1,3,A-5b4ebb,Pro,0,1274,15288,Cybersecurity,other
S-0ce88b,24,2455.3333333333335,2,1,3,A-9ee962,Basic,0,171,2052,HealthTech,ads
S-0d0202,90,3648.777777777778,8,0,8,A-adc1f3,Enterprise,1,9950,119400,Cybersecurity,organic
S-0d2fb8,27,4372.5,5,1,2,A-43a9e3,Basic,0,418,5016,FinTech,other
S-0d33fc,31,4571.666666666667,0,0,3,A-1b707d,Enterprise,0,3184,38208,Cybersecurity,organic
S-0d391c,33,3236.0,3,0,4,A-f9cc74,Enterprise,0,0,0,DevTools,partner
S-0d497d,80,2630.222222222222,8,0,9,A-432483,Enterprise,0,8159,97908,Cybersecurity,ads
S-0d4d11,72,1744.125,9,2,8,A-d77f4c,Basic,0,0,0,DevTools,partner
S-0d6da2,12,675.0,0,0,2,A-e4144b,Enterprise,0,0,0,EdTech,other
S-0d6ea4,66,4466.666666666667,4,0,6,A-f44180,Enterprise,1,1791,21492,Cybersecurity,event
S-0d8293,80,2825.777777777778,2,1,9,A-425e76,Pro,0,3479,41748,DevTools,other
S-0d86a4,16,2975.5,0,0,2,A-700ade,Pro,0,588,7056,Cybersecurity,organic
S-0d8cfd,64,4367.833333333333,9,1,6,A-4ae22a,Pro,0,294,3528,EdTech,other
S-0d93fe,67,2138.1428571428573,6,0,7,A-993085,Basic,0,589,7068,HealthTech,ads
S-0da40c,67,2964.4285714285716,12,0,6,A-6e7827,Pro,1,2450,29400,DevTools,other
S-0da8be,9,2124.0,1,0,1,A-cc8c8f,Basic,1,0,0,DevTools,ads
S-0dd555,84,3803.75,3,0,6,A-e7a1e2,Pro,0,1617,19404,Cybersecurity,event
S-0de78a,51,3346.2,0,1,4,A-e4144b,Basic,0,779,9348,EdTech,other
